tensor(0.0697, device='cuda:0')
tensor(0.0251, device='cuda:0')
tensor(0.0133, device='cuda:0')
tensor(0.1545, device='cuda:0')
tensor(0.1284, device='cuda:0')
tensor(0.0217, device='cuda:0')
tensor(0.0455, device='cuda:0')
tensor(0.0969, device='cuda:0')
tensor(0.0808, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0140, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.1308, device='cuda:0')
tensor(0.0216, device='cuda:0')
tensor(0.0497, device='cuda:0')
tensor(0.1023, device='cuda:0')
tensor(0.0900, device='cuda:0')
tensor(0.0316, device='cuda:0')
tensor(0.0162, device='cuda:0')
tensor(0.1465, device='cuda:0')
tensor(0.1179, device='cuda:0')
tensor(0.0284, device='cuda:0')
tensor(0.0594, device='cuda:0')
tensor(0.0990, device='cuda:0')
tensor(0.0861, device='cuda:0')
tensor(0.0409, device='cuda:0')
tensor(0.0167, device='cuda:0')
tensor(0.1473, device='cuda:0')
tensor(0.1226, device='cuda:0')
tensor(0.0324, device='cuda:0')
tensor(0.0683, device='cuda:0')
tensor(0.0966, device='cuda:0')
tensor(0.0840, device='cuda:0')
tensor(0.0417, device='cuda:0')
tensor(0.0144, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0532, device='cuda:0')
tensor(0.1008, device='cuda:0')
tensor(0.0931, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.0180, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.1382, device='cuda:0')
tensor(0.0368, device='cuda:0')
tensor(0.0610, device='cuda:0')
tensor(0.0991, device='cuda:0')
tensor(0.0910, device='cuda:0')
tensor(0.0488, device='cuda:0')
tensor(0.0217, device='cuda:0')
tensor(0.1399, device='cuda:0')
tensor(0.0990, device='cuda:0')
tensor(0.0392, device='cuda:0')
tensor(0.0811, device='cuda:0')
tensor(0.0887, device='cuda:0')
tensor(0.0699, device='cuda:0')
tensor(0.0322, device='cuda:0')
tensor(0.0151, device='cuda:0')
tensor(0.1575, device='cuda:0')
tensor(0.1527, device='cuda:0')
tensor(0.0235, device='cuda:0')
tensor(0.0609, device='cuda:0')
tensor(0.0997, device='cuda:0')
tensor(0.1036, device='cuda:0')
tensor(0.0445, device='cuda:0')
tensor(0.0176, device='cuda:0')
tensor(0.1377, device='cuda:0')
tensor(0.1156, device='cuda:0')
tensor(0.0382, device='cuda:0')
