tensor(0.0058, device='cuda:0')
tensor(0.1995, device='cuda:0')
tensor(0.1150, device='cuda:0')
tensor(0.0286, device='cuda:0')
tensor(0.0153, device='cuda:0')
tensor(0.1219, device='cuda:0')
tensor(0.0372, device='cuda:0')
tensor(0.0128, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.1907, device='cuda:0')
tensor(0.1226, device='cuda:0')
tensor(0.0248, device='cuda:0')
tensor(0.0101, device='cuda:0')
tensor(0.1073, device='cuda:0')
tensor(0.0374, device='cuda:0')
tensor(0.0339, device='cuda:0')
tensor(0.0149, device='cuda:0')
tensor(0.1727, device='cuda:0')
tensor(0.0948, device='cuda:0')
tensor(0.0415, device='cuda:0')
tensor(0.0068, device='cuda:0')
tensor(0.1100, device='cuda:0')
tensor(0.0199, device='cuda:0')
tensor(0.0223, device='cuda:0')
tensor(0.0035, device='cuda:0')
tensor(0.1641, device='cuda:0')
tensor(0.0770, device='cuda:0')
tensor(0.0305, device='cuda:0')
tensor(0.0186, device='cuda:0')
tensor(0.0989, device='cuda:0')
tensor(0.0276, device='cuda:0')
tensor(0.0206, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.0836, device='cuda:0')
tensor(0.0308, device='cuda:0')
tensor(0.0192, device='cuda:0')
tensor(0.0994, device='cuda:0')
tensor(0.0295, device='cuda:0')
tensor(0.0166, device='cuda:0')
tensor(0.0031, device='cuda:0')
tensor(0.1667, device='cuda:0')
tensor(0.1133, device='cuda:0')
tensor(0.0205, device='cuda:0')
tensor(0.0112, device='cuda:0')
tensor(0.0934, device='cuda:0')
tensor(0.0456, device='cuda:0')
tensor(0.0198, device='cuda:0')
tensor(0.0080, device='cuda:0')
tensor(0.1357, device='cuda:0')
tensor(0.0672, device='cuda:0')
tensor(0.0333, device='cuda:0')
tensor(0.0215, device='cuda:0')
tensor(0.0718, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.0068, device='cuda:0')
tensor(0.0050, device='cuda:0')
tensor(0.1984, device='cuda:0')
tensor(0.1359, device='cuda:0')
tensor(0.0256, device='cuda:0')
tensor(0.0113, device='cuda:0')
tensor(0.1324, device='cuda:0')
tensor(0.0329, device='cuda:0')
tensor(0.0084, device='cuda:0')
tensor(0.0044, device='cuda:0')
tensor(0.1732, device='cuda:0')
tensor(0.1226, device='cuda:0')
tensor(0.0208, device='cuda:0')
